"","run","subid","sequence","country","age","gender","englishNative","ethnicity","education","religionChild","religionNow","job","comments","phase","predicate","trialNum","leftCharacter","rightCharacter","response","rt","country_selfrep","responseNum"
"36","us_run_01","us_run_01_2","sequence4","us",35,"male","yes_only","white","college_some","none","other","Unemployed","This one was kinda fun.","test","hunger",11,"bug","robot","much more left",1558,"USA",-2
"37","us_run_01","us_run_01_2","sequence4","us",35,"male","yes_only","white","college_some","none","other","Unemployed","This one was kinda fun.","test","hunger",12,"baby","car","much more left",1166,"USA",-2
"38","us_run_01","us_run_01_2","sequence4","us",35,"male","yes_only","white","college_some","none","other","Unemployed","This one was kinda fun.","test","hunger",13,"bug","kid","slightly more right",2823,"USA",1
"39","us_run_01","us_run_01_2","sequence4","us",35,"male","yes_only","white","college_some","none","other","Unemployed","This one was kinda fun.","test","hunger",14,"grownup","dog","both equally",2533,"USA",0
"40","us_run_01","us_run_01_2","sequence4","us",35,"male","yes_only","white","college_some","none","other","Unemployed","This one was kinda fun.","test","hunger",15,"stapler","robot","both equally",1749,"USA",0
"41","us_run_01","us_run_01_2","sequence4","us",35,"male","yes_only","white","college_some","none","other","Unemployed","This one was kinda fun.","test","hunger",16,"baby","kid","both equally",1446,"USA",0
"42","us_run_01","us_run_01_2","sequence4","us",35,"male","yes_only","white","college_some","none","other","Unemployed","This one was kinda fun.","test","hunger",17,"bear","computer","much more left",1542,"USA",-2
"43","us_run_01","us_run_01_2","sequence4","us",35,"male","yes_only","white","college_some","none","other","Unemployed","This one was kinda fun.","test","hunger",18,"dog","stapler","much more left",1094,"USA",-2
"44","us_run_01","us_run_01_2","sequence4","us",35,"male","yes_only","white","college_some","none","other","Unemployed","This one was kinda fun.","test","thinking",19,"stapler","grownup","much more right",1512,"USA",2
"45","us_run_01","us_run_01_2","sequence4","us",35,"male","yes_only","white","college_some","none","other","Unemployed","This one was kinda fun.","test","thinking",20,"bug","car","much more left",2054,"USA",-2
"46","us_run_01","us_run_01_2","sequence4","us",35,"male","yes_only","white","college_some","none","other","Unemployed","This one was kinda fun.","test","thinking",21,"stapler","computer","much more right",2750,"USA",2
"47","us_run_01","us_run_01_2","sequence4","us",35,"male","yes_only","white","college_some","none","other","Unemployed","This one was kinda fun.","test","thinking",22,"car","robot","much more right",2550,"USA",2
"48","us_run_01","us_run_01_2","sequence4","us",35,"male","yes_only","white","college_some","none","other","Unemployed","This one was kinda fun.","test","thinking",23,"bear","dog","both equally",1582,"USA",0
"49","us_run_01","us_run_01_2","sequence4","us",35,"male","yes_only","white","college_some","none","other","Unemployed","This one was kinda fun.","test","thinking",24,"computer","kid","much more right",1253,"USA",2
